token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x4c69db6b28acb2acee7ef334abfe6af5e0944e68,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,760000000000000000000,0x1f51f0bfaa988e14665dbb1d564821111ad2dc4784cd879c5058b5e8e5eaf491,1,6000000
0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xaa09e495885d58520effd15d16eecc8145cb922b,236580809800000000000,0x33a366a02a770004f941f445f84780ab85ae310f2377edd25fc9c4e579f3635b,3,6000000
0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,0x5c985e89dde482efe97ea9f1950ad149eb73829b,0x3984df092065c520dfddba0994b1cbb5ddfab81c,5658640000000000000000,0xb05a9812db7c5c298b78fb7d2a921cb7742eda8a4925d00e1d0c3a3158ae50c5,6,6000000
0x809826cceab68c387726af962713b64cb5cb3cca,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x5bd9b682f24da3a4f23bf66423a1763f6098cbaf,1494400000000000000000,0xcce8ae3535d01fcea4bb9c16421bc23583b4a97e2d42d0a2ee086bfda5e1c2d6,7,6000000
0x809826cceab68c387726af962713b64cb5cb3cca,0x564286362092d8e7936f0549571a803b203aaced,0xf910ae9e1f1fef7dc72456ed2bb4c80983bd2783,65235810000000000000000,0x1547120bbc2092524c49441f824d0d6cf32393ca249ec31b68acc75d42da3382,8,6000000
0x06012c8cf97bead5deae237070f9587f8e7a266d,0x0000000000000000000000000000000000000000,0x7891f796a5d43466fc29f102069092aef497a290,851836,0xa8f2cf69e302da6c8100b80298ed77c37b6e75eed1177ca22acd5772c9fb9876,10,6000000
0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x32e567e8b527d3194c60ea3c6a5c009d58a0b36d,0x1ae5d5903acb0cecad760c8702f4f05d34650e81,157086034150000000000,0xc9e5e4d68474ea707d2cc1f298f3a5495bc94fc9442e11919aab7a1d75b35835,11,6000000
0x1985365e9f78359a9b6ad760e32412f4a445e862,0x40120b5a5994f7e3afe3c0a3dc56d1ccb0b75262,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,654464035490000000000,0x7161b3358e2abad95089905f39e7075513efefae00244d3f376292a87f39e95e,24,6000000
0xdf2c7238198ad8b389666574f2d8bc411a4b7428,0xf74d556cbb95b7bccdad8284bc68110c74c91e7b,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,123322039451931073576960,0xe453348bfddf49357c098730bb060ae2d05af1fcefe54393489f80bd02a6e021,26,6000000
0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x96016c56f2f46de0aa20635c32c5959a8f4e3880,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,668280549990000000000,0xecff250a3deaa6f1022f9bb2c596f7e94afe9e9fc28f5f4b736db2eb9d93b92f,27,6000000
0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x1ae5d5903acb0cecad760c8702f4f05d34650e81,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,353644714000000000000,0xdae6e7e0cf6c411946e1bc5fddfcb4d206863b0385163b8e5f983c8616aeedc8,28,6000000
0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0x75d12249f9ca6c61a7441bdda58996eb65d9d4d7,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,427,0x267eb25ff558d66deb47ededbb3a5db9099727f2703ce4b871d77d9c4dc930b5,29,6000000
0x3883f5e181fccaf8410fa61e12b59bad963fb645,0xcc63cd404a350868cdff82df2f6fe09993677f75,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,508909300000000000000,0x586a7e7914231c10a9688285100eb5cbd5481969a959c51703b2082cb22faaf8,30,6000000
0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x9649c485759d7141dba05de70252518d52b2c7fa,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,13052860000000000000000,0x884ae8e046e8d12a541788f4072e4ad7f0a3c3b806afa0abd67f711ba468c5f4,31,6000000
0x49592d97be49033615a7fbc02c6853e4c58eb9bc,0xb15a16c51126045655fd0ba31c1c33cf3aea406a,0x016a52861f57610aa090b39dd4eb7574174ddce2,2376000000000000000000,0xa2ac2861c0915a3141692150a285634603b5e43c8ff3aef6e866b497a44c522c,32,6000000
0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,0x9f27fc92890a31d7b74b787f34b099fd628b51ea,0x46705dfff24256421a05d056c29e81bdc09723b8,5000100000000,0x39591c58d9c72573289387bf9e1fb6d81965a16fbd5e81138f07de5459e0bce1,33,6000000
0xfb5a551374b656c6e39787b1d3a03feab7f3a98e,0xae07ad15176928b0eff73af099b6091a51038730,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,1000000000000000000000,0x179721c8676e58345a8407c803b5a592e7eca599169d08e1d7fcba6d031f623c,34,6000000
0x2d0e95bd4795d7ace0da3c0ff7b706a5970eb9d3,0xe6da41ddbbd7b7c899e051f83137e35e7919d464,0x46705dfff24256421a05d056c29e81bdc09723b8,502103244800000000000000,0x889bffb9f1968a462643c8911835f84f1fdf9776b2400fc36169aafeca4ffe34,35,6000000
0x7051620d11042c4335069aaa4f10cd3b4290c681,0x99006250906ef07520735c62956e0cfdd99b741d,0x04963113e06716f2338908e43412ca64c7fc395e,200000000,0xa55b45862b67300ac4dc0300930aedef68e924a24e155b4cc53a2a265f1cf53f,36,6000000
0xe1aee98495365fc179699c1bb3e761fa716bee62,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0x0e959a7b09a10ea4dacfaeb40c40c1d89f32f498,12742230319354791615570,0x2a1e7f34d625cb2538397435eac6461ba4d3c5e707054c32a94305789404dfb7,39,6000000
0xfb5a551374b656c6e39787b1d3a03feab7f3a98e,0xff48520b88777788fb8210165cb95d981c29ead9,0xeee28d484628d41a82d01e21d12e2e78d69920da,1000000000000000000000,0x340fc20f05915b2503ea08fad6d0bc7236fa229185618600a7d71cd90cdb5d61,41,6000000
0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,0x4d54f1f5ed6cde29298c29070c2c3bed2ea53925,0x46705dfff24256421a05d056c29e81bdc09723b8,5012826400000,0xa03e2326071621e7fbcedf87949f11612be84edaeaccad605cf1287668ba8296,42,6000000
0x53066cddbc0099eb6c96785d9b3df2aaeede5da3,0x17ef0fa98488cd1c963a0d3fad914fca06f0f1dc,0x5c985e89dde482efe97ea9f1950ad149eb73829b,1000000000000000000000,0xa70ff0263bbe7706f7a25ca63796c0e87d73c54877d29979b05c8a7292a83040,43,6000000
0x91cdb5bb5969bfed2373e97378354052bbc606f2,0x04e4eb6348668683110fa726e350064d445eaac3,0xfd7c3fca882e0746d9d115448817d2a1e210cdd0,55000000000000000000,0xd646270f37063a9a9f41efb5afb3d0dc77c8ae0100e20ab118251d08fc88d7f6,48,6000000
0x7d3bef56d19f4f1e1ef6eec8e8816a2de29d0721,0x1b0aaf0d40d34f4bffb252e2e67be074f7c89146,0x7fdc2453db06fe2a279582ad2c3dd78dede21921,100000000000000000000,0xc764e9479e61e20e4fbb2d25eece3ed5eaad661e3b55e1455722b110b124d9b4,53,6000000
0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664,0x37f839310852a9631e6f74d25db6a5d13d882bdd,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,14937640000000000000000,0xc68b8c3a047088b2adab9a2d453c97f67cba6101e50dbca169ed6aba673d196c,61,6000000
0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0xad0a2478ba25816365aa0e32d77aff92b9e34efc,0x0d0707963952f2fba59dd06f2b425ace40b492fe,364595000000000000000000,0x26784c355b769af7690a74e198c0f56598a5cd2e196e5c183f51d3eec2a28e9f,62,6000000
